ID,Age,Salary,Experience,Department,City,Gender,Rating,Bonus,Performance,Join_Year,Active
1,56,109614,37,Finance,Pune,Female,1.3,5400,Medium,2009,No
2,46,108116,39,Finance,Mumbai,Female,3.0,2218,High,2011,No
3,32,76235,28,IT,Pune,Female,3.1,2449,Medium,2004,Yes
4,60,34855,35,Marketing,Pune,Female,4.3,2587,Low,2001,No
5,25,56169,1,Marketing,Bangalore,Female,4.7,11412,High,2008,No
6,38,66404,17,Marketing,Delhi,Female,4.8,8837,Medium,2017,Yes
7,56,39569,7,HR,Bangalore,Male,3.3,1396,Low,2023,No
8,36,74437,14,Marketing,Pune,Male,3.7,12929,Low,2000,Yes
9,40,68506,16,HR,Chennai,Male,1.4,18127,Low,2013,Yes
10,28,45738,22,IT,Delhi,Male,3.0,10645,Medium,2002,No
11,28,26772,1,Sales,Delhi,Female,4.6,3017,High,2022,No
12,41,110410,5,Marketing,Pune,Female,2.8,11859,Medium,2010,Yes
13,53,39731,28,Finance,Bangalore,Female,1.3,15027,High,2021,No
14,57,30131,26,Finance,Chennai,Male,1.8,19706,High,2017,No
15,41,86324,36,Marketing,Mumbai,Male,2.7,13975,Low,2001,Yes
16,20,74097,33,HR,Bangalore,Female,2.0,11145,Low,2021,Yes
17,39,101720,17,Finance,Delhi,Male,2.6,17745,Low,2016,No
18,19,116433,9,Finance,Bangalore,Female,2.3,1399,Medium,2002,Yes
19,41,22889,37,IT,Mumbai,Female,2.3,4654,High,2020,No
20,61,29569,16,IT,Chennai,Male,1.4,9986,Low,2006,Yes
21,47,107193,12,IT,Chennai,Male,4.5,17946,Medium,2002,Yes
22,55,95677,26,Finance,Mumbai,Female,3.8,8802,High,2014,No
23,19,105192,1,Finance,Mumbai,Male,3.5,3064,High,2003,No
24,38,107154,33,Marketing,Pune,Female,3.4,9411,Medium,2014,Yes
25,50,97470,30,Marketing,Delhi,Female,2.6,11691,High,2002,Yes
26,29,108822,22,HR,Pune,Female,4.3,3016,Medium,2010,No
27,39,27612,6,Finance,Bangalore,Female,4.7,1625,Low,2002,Yes
28,61,71644,37,Marketing,Mumbai,Male,1.0,10856,High,2019,No
29,42,52069,32,Marketing,Pune,Female,1.3,16464,Medium,2017,No
30,44,101741,11,IT,Delhi,Male,3.7,4341,Low,2013,No
31,59,47331,11,IT,Delhi,Female,1.9,17447,Low,2020,Yes
32,45,75897,18,IT,Mumbai,Male,4.6,11183,Low,2008,No
33,33,33934,8,Sales,Pune,Female,3.7,19311,High,2014,No
34,32,30095,9,Marketing,Chennai,Female,2.5,16511,Low,2007,No
35,64,111494,16,IT,Mumbai,Male,2.7,18280,Low,2007,No
36,61,38706,39,IT,Bangalore,Female,3.8,16848,Low,2007,Yes
37,20,63516,38,Finance,Pune,Female,1.6,8367,Medium,2023,Yes
38,54,117008,9,IT,Pune,Female,4.5,19463,High,2013,Yes
39,24,54629,11,Finance,Mumbai,Female,1.0,17384,Low,2005,Yes
40,38,66910,14,HR,Pune,Male,4.9,5801,High,2012,Yes
41,26,108540,30,IT,Pune,Male,1.7,17105,Low,2006,Yes
42,56,40431,14,Finance,Bangalore,Female,4.0,7024,Medium,2014,Yes
43,35,76733,27,IT,Bangalore,Female,1.2,2682,Low,2009,No
44,21,60088,3,HR,Chennai,Female,2.7,1562,High,2011,Yes
45,42,64135,35,IT,Bangalore,Male,3.5,7992,Low,2004,Yes
46,31,58015,0,Finance,Chennai,Female,1.3,17641,High,2021,Yes
47,26,51385,33,HR,Bangalore,Male,2.8,7665,High,2002,No
48,43,90199,16,HR,Chennai,Male,2.2,13477,Medium,2004,Yes
49,19,58677,38,HR,Bangalore,Male,3.0,8006,Low,2011,Yes
50,37,32818,37,Sales,Bangalore,Male,3.0,15983,High,2002,Yes
51,45,108222,32,Finance,Mumbai,Female,4.1,5093,Medium,2020,Yes
52,64,83001,20,Sales,Bangalore,Female,1.5,13792,High,2000,No
53,24,43977,25,HR,Chennai,Male,1.3,19253,Medium,2016,Yes
54,61,69832,35,Sales,Mumbai,Male,2.6,17761,Low,2009,Yes
55,25,60931,4,IT,Chennai,Female,4.6,19776,Low,2005,No
56,64,103990,32,Sales,Bangalore,Female,4.4,14517,Low,2023,Yes
57,52,98894,0,Marketing,Bangalore,Female,3.2,18232,Low,2019,Yes
58,31,92204,5,HR,Chennai,Female,4.6,1779,Low,2012,Yes
59,34,65784,36,HR,Pune,Male,4.2,4411,Low,2014,Yes
60,53,29921,1,Finance,Mumbai,Female,2.1,1865,High,2022,No
61,57,54959,4,IT,Mumbai,Male,1.7,4639,High,2020,Yes
62,21,52328,25,Finance,Bangalore,Female,2.2,16920,Medium,2001,Yes
63,19,28859,12,Sales,Mumbai,Male,1.9,8091,Low,2020,No
64,23,109506,11,Marketing,Chennai,Female,3.5,19314,Low,2001,Yes
